realIP,popular_rec1,popular_rec2,popular_rec3
2348307832,http://***/info/hunyin/lhlawlhxy/20110707137693.html,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html
171504604,http://***/info/hunyin/lhlawlhxy/20110707137693.html,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html
4011605818,http://***/info/hunyin/lhlawlhxy/20110707137693.html,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html
3184854967,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html,http://***/info/hunyin/jihuashengyu/201411053308990.html
4094818362,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html,http://***/info/hunyin/jihuashengyu/201411053308990.html
2757717873,http://***/info/hunyin/lhlawlhxy/20110707137693.html,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html
102569332,http://***/info/hunyin/lhlawlhxy/20110707137693.html,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html
412457486,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html,http://***/info/hunyin/jihuashengyu/201411053308990.html
2794177834,http://***/info/hunyin/lhlawlhxy/20110707137693.html,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html
4044522103,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html,http://***/info/hunyin/jihuashengyu/201411053308990.html
3509417230,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html,http://***/info/hunyin/jihuashengyu/201411053308990.html
3391849335,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html,http://***/info/hunyin/jihuashengyu/201411053308990.html
902534158,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html,http://***/info/hunyin/jihuashengyu/201411053308990.html
1067947534,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html,http://***/info/hunyin/jihuashengyu/201411053308990.html
213733752,http://***/info/hunyin/lhlawlhxy/20110707137693.html,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/20120215163891.html
1678120402,http://***/info/hunyin/hunyinfagui/201411053308986.html,http://***/info/hunyin/jihuashengyu/201411053308990.html,http://***/info/hunyin/jiehun/hunjia/20110920152787.html
